loss,delay,fast_recovery,md5_hash,ttc
1,0,0,37cfe51f125b935e8305b88e5ab6275a,1.9907844066619873
1,0,0,37cfe51f125b935e8305b88e5ab6275a,2.547945499420166
1,0,0,37cfe51f125b935e8305b88e5ab6275a,3.1578209400177
1,0,0,37cfe51f125b935e8305b88e5ab6275a,2.3955397605895996
1,0,0,37cfe51f125b935e8305b88e5ab6275a,2.4718844890594482
1,0,1,37cfe51f125b935e8305b88e5ab6275a,0.6080851554870605
1,0,1,37cfe51f125b935e8305b88e5ab6275a,0.7950260639190674
1,0,1,37cfe51f125b935e8305b88e5ab6275a,0.8143372535705566
1,0,1,37cfe51f125b935e8305b88e5ab6275a,0.6309459209442139
1,0,1,37cfe51f125b935e8305b88e5ab6275a,0.6278760433197021
1,20,0,37cfe51f125b935e8305b88e5ab6275a,4.039066791534424
1,20,0,37cfe51f125b935e8305b88e5ab6275a,4.707152366638184
1,20,0,37cfe51f125b935e8305b88e5ab6275a,3.144265651702881
1,20,0,37cfe51f125b935e8305b88e5ab6275a,3.927896499633789
1,20,0,37cfe51f125b935e8305b88e5ab6275a,4.050046920776367
1,20,1,37cfe51f125b935e8305b88e5ab6275a,1.529430866241455
1,20,1,37cfe51f125b935e8305b88e5ab6275a,1.4695606231689453
1,20,1,37cfe51f125b935e8305b88e5ab6275a,1.7676153182983398
1,20,1,37cfe51f125b935e8305b88e5ab6275a,1.7571415901184082
1,20,1,37cfe51f125b935e8305b88e5ab6275a,2.160945177078247
1,40,0,37cfe51f125b935e8305b88e5ab6275a,5.197903156280518
1,40,0,37cfe51f125b935e8305b88e5ab6275a,5.431716680526733
1,40,0,37cfe51f125b935e8305b88e5ab6275a,4.819533824920654
1,40,0,37cfe51f125b935e8305b88e5ab6275a,4.897294282913208
1,40,0,37cfe51f125b935e8305b88e5ab6275a,4.371558666229248
1,40,1,37cfe51f125b935e8305b88e5ab6275a,2.9535462856292725
1,40,1,37cfe51f125b935e8305b88e5ab6275a,2.8880937099456787
1,40,1,37cfe51f125b935e8305b88e5ab6275a,3.239245653152466
1,40,1,37cfe51f125b935e8305b88e5ab6275a,3.159698247909546
1,40,1,37cfe51f125b935e8305b88e5ab6275a,2.719736099243164
1,60,0,37cfe51f125b935e8305b88e5ab6275a,6.481010913848877
1,60,0,37cfe51f125b935e8305b88e5ab6275a,4.81437087059021
1,60,0,37cfe51f125b935e8305b88e5ab6275a,6.349714756011963
1,60,0,37cfe51f125b935e8305b88e5ab6275a,6.29365348815918
1,60,0,37cfe51f125b935e8305b88e5ab6275a,5.2439374923706055
1,60,1,37cfe51f125b935e8305b88e5ab6275a,3.426539659500122
1,60,1,37cfe51f125b935e8305b88e5ab6275a,3.718930959701538
1,60,1,37cfe51f125b935e8305b88e5ab6275a,4.718839645385742
1,60,1,37cfe51f125b935e8305b88e5ab6275a,3.8441357612609863
1,60,1,37cfe51f125b935e8305b88e5ab6275a,4.223187208175659
1,80,0,37cfe51f125b935e8305b88e5ab6275a,4.374412536621094
1,80,0,37cfe51f125b935e8305b88e5ab6275a,6.260587453842163
1,80,0,37cfe51f125b935e8305b88e5ab6275a,5.395627498626709
1,80,0,37cfe51f125b935e8305b88e5ab6275a,6.406364917755127
1,80,0,37cfe51f125b935e8305b88e5ab6275a,6.803582429885864
1,80,1,37cfe51f125b935e8305b88e5ab6275a,4.440889835357666
1,80,1,37cfe51f125b935e8305b88e5ab6275a,5.680814981460571
1,80,1,37cfe51f125b935e8305b88e5ab6275a,4.549174785614014
1,80,1,37cfe51f125b935e8305b88e5ab6275a,5.063450574874878
1,80,1,37cfe51f125b935e8305b88e5ab6275a,4.99093770980835
1,100,0,37cfe51f125b935e8305b88e5ab6275a,7.664738655090332
