loss,delay,fast_recovery,md5_hash,ttc
0.0,20,1,36e31e34c3fe76c30cac6b262a41e755,2.7391560077667236
0.0,20,1,36e31e34c3fe76c30cac6b262a41e755,2.9757702350616455
0.0,20,1,36e31e34c3fe76c30cac6b262a41e755,2.7082905769348145
0.0,20,1,36e31e34c3fe76c30cac6b262a41e755,2.6947672367095947
0.0,20,1,36e31e34c3fe76c30cac6b262a41e755,2.7139766216278076
0.0,20,0,36e31e34c3fe76c30cac6b262a41e755,2.6663413047790527
0.0,20,0,36e31e34c3fe76c30cac6b262a41e755,2.8600552082061768
0.0,20,0,36e31e34c3fe76c30cac6b262a41e755,2.7137160301208496
0.0,20,0,36e31e34c3fe76c30cac6b262a41e755,2.74223256111145
0.0,20,0,36e31e34c3fe76c30cac6b262a41e755,2.820739984512329
0.5,20,1,36e31e34c3fe76c30cac6b262a41e755,2.993818521499634
0.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.2046186923980713
0.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.0524120330810547
0.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.258815050125122
0.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.2532405853271484
0.5,20,0,36e31e34c3fe76c30cac6b262a41e755,5.422571420669556
0.5,20,0,36e31e34c3fe76c30cac6b262a41e755,6.327804088592529
0.5,20,0,36e31e34c3fe76c30cac6b262a41e755,5.152931451797485
0.5,20,0,36e31e34c3fe76c30cac6b262a41e755,4.228056907653809
0.5,20,0,36e31e34c3fe76c30cac6b262a41e755,5.315079689025879
1.0,20,1,36e31e34c3fe76c30cac6b262a41e755,3.388768196105957
1.0,20,1,36e31e34c3fe76c30cac6b262a41e755,3.5661189556121826
1.0,20,1,36e31e34c3fe76c30cac6b262a41e755,3.866685152053833
1.0,20,1,36e31e34c3fe76c30cac6b262a41e755,3.0882372856140137
1.0,20,1,36e31e34c3fe76c30cac6b262a41e755,3.347689390182495
1.0,20,0,36e31e34c3fe76c30cac6b262a41e755,6.253612279891968
1.0,20,0,36e31e34c3fe76c30cac6b262a41e755,7.027710676193237
1.0,20,0,36e31e34c3fe76c30cac6b262a41e755,6.96527099609375
1.0,20,0,36e31e34c3fe76c30cac6b262a41e755,6.4669270515441895
1.0,20,0,36e31e34c3fe76c30cac6b262a41e755,5.726026296615601
1.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.5071890354156494
1.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.7579729557037354
1.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.8624632358551025
1.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.7644786834716797
1.5,20,1,36e31e34c3fe76c30cac6b262a41e755,3.7756803035736084
1.5,20,0,36e31e34c3fe76c30cac6b262a41e755,8.087287425994873
1.5,20,0,36e31e34c3fe76c30cac6b262a41e755,8.710791110992432
1.5,20,0,36e31e34c3fe76c30cac6b262a41e755,7.708611249923706
1.5,20,0,36e31e34c3fe76c30cac6b262a41e755,7.457198143005371
1.5,20,0,36e31e34c3fe76c30cac6b262a41e755,7.637505531311035
2.0,20,1,36e31e34c3fe76c30cac6b262a41e755,5.774601459503174
2.0,20,1,36e31e34c3fe76c30cac6b262a41e755,4.270043134689331
2.0,20,1,36e31e34c3fe76c30cac6b262a41e755,5.346529722213745
2.0,20,1,36e31e34c3fe76c30cac6b262a41e755,4.030307769775391
2.0,20,1,36e31e34c3fe76c30cac6b262a41e755,4.6787192821502686
2.0,20,0,36e31e34c3fe76c30cac6b262a41e755,9.724329710006714
2.0,20,0,36e31e34c3fe76c30cac6b262a41e755,9.625253438949585
2.0,20,0,36e31e34c3fe76c30cac6b262a41e755,9.803001403808594
2.0,20,0,36e31e34c3fe76c30cac6b262a41e755,8.420758247375488
2.0,20,0,36e31e34c3fe76c30cac6b262a41e755,11.400314807891846
2.5,20,1,36e31e34c3fe76c30cac6b262a41e755,4.192898988723755
2.5,20,1,36e31e34c3fe76c30cac6b262a41e755,5.08599328994751
2.5,20,1,36e31e34c3fe76c30cac6b262a41e755,4.90450644493103
2.5,20,1,36e31e34c3fe76c30cac6b262a41e755,6.3058555126190186
2.5,20,1,36e31e34c3fe76c30cac6b262a41e755,6.221721887588501
2.5,20,0,36e31e34c3fe76c30cac6b262a41e755,12.357736110687256
2.5,20,0,36e31e34c3fe76c30cac6b262a41e755,10.544170141220093
2.5,20,0,36e31e34c3fe76c30cac6b262a41e755,11.27061653137207
2.5,20,0,36e31e34c3fe76c30cac6b262a41e755,10.914742231369019
2.5,20,0,36e31e34c3fe76c30cac6b262a41e755,10.291606426239014
3.0,20,1,36e31e34c3fe76c30cac6b262a41e755,6.826997756958008
3.0,20,1,36e31e34c3fe76c30cac6b262a41e755,6.035051107406616
3.0,20,1,36e31e34c3fe76c30cac6b262a41e755,6.05278754234314
3.0,20,1,36e31e34c3fe76c30cac6b262a41e755,5.887136697769165
3.0,20,1,36e31e34c3fe76c30cac6b262a41e755,5.4911277294158936
3.0,20,0,36e31e34c3fe76c30cac6b262a41e755,12.751382827758789
3.0,20,0,36e31e34c3fe76c30cac6b262a41e755,10.475805521011353
3.0,20,0,36e31e34c3fe76c30cac6b262a41e755,12.444294452667236
3.0,20,0,36e31e34c3fe76c30cac6b262a41e755,12.730568408966064
3.0,20,0,36e31e34c3fe76c30cac6b262a41e755,13.984741449356079
3.5,20,1,36e31e34c3fe76c30cac6b262a41e755,5.89751672744751
3.5,20,1,36e31e34c3fe76c30cac6b262a41e755,6.590831518173218
3.5,20,1,36e31e34c3fe76c30cac6b262a41e755,6.431506156921387
3.5,20,1,36e31e34c3fe76c30cac6b262a41e755,6.558666706085205
3.5,20,1,36e31e34c3fe76c30cac6b262a41e755,5.250122308731079
3.5,20,0,36e31e34c3fe76c30cac6b262a41e755,12.840961694717407
3.5,20,0,36e31e34c3fe76c30cac6b262a41e755,14.502587080001831
3.5,20,0,36e31e34c3fe76c30cac6b262a41e755,15.233322620391846
3.5,20,0,36e31e34c3fe76c30cac6b262a41e755,15.917147874832153
3.5,20,0,36e31e34c3fe76c30cac6b262a41e755,17.85574507713318
4.0,20,1,36e31e34c3fe76c30cac6b262a41e755,7.943021059036255
4.0,20,1,36e31e34c3fe76c30cac6b262a41e755,7.08441686630249
4.0,20,1,36e31e34c3fe76c30cac6b262a41e755,8.818633079528809
4.0,20,1,36e31e34c3fe76c30cac6b262a41e755,7.403012990951538
4.0,20,1,36e31e34c3fe76c30cac6b262a41e755,6.111854076385498
4.0,20,0,36e31e34c3fe76c30cac6b262a41e755,14.992721796035767
4.0,20,0,36e31e34c3fe76c30cac6b262a41e755,16.03988003730774
4.0,20,0,36e31e34c3fe76c30cac6b262a41e755,14.940768957138062
4.0,20,0,36e31e34c3fe76c30cac6b262a41e755,13.2394278049469
4.0,20,0,36e31e34c3fe76c30cac6b262a41e755,15.487715482711792
4.5,20,1,36e31e34c3fe76c30cac6b262a41e755,8.39580225944519
4.5,20,1,36e31e34c3fe76c30cac6b262a41e755,7.824436902999878
4.5,20,1,36e31e34c3fe76c30cac6b262a41e755,7.454720497131348
4.5,20,1,36e31e34c3fe76c30cac6b262a41e755,8.373279809951782
4.5,20,1,36e31e34c3fe76c30cac6b262a41e755,8.835434436798096
4.5,20,0,36e31e34c3fe76c30cac6b262a41e755,16.594507217407227
4.5,20,0,36e31e34c3fe76c30cac6b262a41e755,14.948810577392578
4.5,20,0,36e31e34c3fe76c30cac6b262a41e755,16.66617441177368
4.5,20,0,36e31e34c3fe76c30cac6b262a41e755,14.973121166229248
4.5,20,0,36e31e34c3fe76c30cac6b262a41e755,15.748471021652222
5.0,20,1,36e31e34c3fe76c30cac6b262a41e755,10.597744226455688
5.0,20,1,36e31e34c3fe76c30cac6b262a41e755,8.587803363800049
5.0,20,1,36e31e34c3fe76c30cac6b262a41e755,8.152175664901733
5.0,20,1,36e31e34c3fe76c30cac6b262a41e755,8.655691146850586
5.0,20,1,36e31e34c3fe76c30cac6b262a41e755,7.8182759284973145
5.0,20,0,36e31e34c3fe76c30cac6b262a41e755,15.731955289840698
5.0,20,0,36e31e34c3fe76c30cac6b262a41e755,16.875901460647583
5.0,20,0,36e31e34c3fe76c30cac6b262a41e755,18.34720730781555
5.0,20,0,36e31e34c3fe76c30cac6b262a41e755,14.143054246902466
5.0,20,0,36e31e34c3fe76c30cac6b262a41e755,18.238853931427002
